Key,Feature Type
0,table
1,hotspot
2,diode_failure
3,module_failure
4,module_reverse_polarity
5,string_failure
6,string_reverse_polarity
7,potential_induced_degradation
8,dirt
9,vegetation
10,tracker_malfunction
11,cracked_modules
12,modules
13,strings
14,combiner_boxes
15,inverter
16,single_cell_hotspot
17,multicell_hotspot
18,shadow
19,missing_module
20,table_disorientation
21,cell_failure
22,shade_induced_module_short_circuit
23,central_harness_hot
24,central_busbar_hot
25,centre_brace_hot
26,end_brace_hot
27,coldspot
28,suspected_hotspot
29,homerun
30,suspected_soiling
31,misaligned_module
32,to_be_investigated
C,clip_boundary
T,train_boundary
33,junction_box_hot
34,full_interior_cell_hot
35,partial_interior_cell_hot
36,full_edge_cell_hot
37,partial_edge_cell_hot
